beerid,breweryid,name,abv,ibu,isorganic,isretired,servingtemperature,foodpairings,status,styleid
2yXCVa,nLsoQ9,Sumpin' Easy Ale,5.7,50.8,N,N,,,verified,25
PB49EI,BznahA,Sun Dog Amber Wheat,5.3,,N,N,,,verified,112
2Bxz64,AqEUBQ,Sundog,4.5,33,N,N,cold,"Grilled foods, caramelized onions, tomato sauce and gruyere.",verified,32
G8qBXI,nLsoQ9,Super Cluster,8,,N,N,,,verified,31
ATFslo,nHLlnK,Sweet Sunny South,4.9,23,N,N,,,verified,69
l5VbnF,TMc6H2,Sweetwater Dank Tank Big Ol' Belgian Blue Balls,9,,N,N,,,verified,167
8lmndo,TMc6H2,Sweetwater Donkey Punch!,10.2,,N,N,,,verified,34
6owRQn,TMc6H2,SweetWater Exodus Porter,,,N,N,,,verified,18
ctjbwM,TMc6H2,SweetWater Festive Ale,8.5,,N,N,,,verified,124
uzOl1k,TMc6H2,SweetWater IPA,6.3,61,N,N,,,verified,30
FDSQ5n,TMc6H2,SweetWater Mean Joe Bean,8.5,,N,N,,,verified,19
0a0nmv,TMc6H2,SweetWater Motor Boat,5.6,,N,N,,,verified,3
OGHzdU,TMc6H2,SweetWater Road Trip,5.2,,N,N,,,verified,98
XJ7ZBB,TMc6H2,SweetWater SchWheat,4.9,,N,Y,,,verified,112
XeZfaD,VEY3Xa,T.L.A. I.P.A.,5.7,75,N,N,,,verified,30
FnRwC6,TMc6H2,Take Two Pils,5.5,35,N,N,,,verified,75
GbTnYM,AqEUBQ,Tangerine Space Machine,6.8,,N,N,,,verified,30
HptKyQ,p1tFbP,Tannakin,6.2,,N,N,,,verified,42
YmuNgG,AqEUBQ,Tasmanian Hatter,7,55,N,N,,"Grilled seafood, unagi and lamb",verified,30
5ErplG,nHLlnK,Tater Ridge - Beer Camp Across America,7,35,N,N,,,verified,8
FbD1pJ,AqEUBQ,Taz IPA,6,50,N,N,,,verified,30
Rl3Yy9,q6vJUK,Ten FIDY,10.5,65,N,N,,,verified,43
44mN7a,q6vJUK,Ten FIDY,10.5,65,N,N,,,verified,43
x6bRxw,q6vJUK,Ten FIDY,10.5,65,N,N,,,verified,43
aSdzxF,q6vJUK,Ten FIDY (2016),10.5,65,N,N,,,verified,44
KVcu4B,q6vJUK,Ten Fidy - Bourbon Barrel Aged,12.9,,N,N,,,verified,43
oRKnzw,q6vJUK,Ten Fidy - Bulleit Bourbon Barrel Aged,11,,N,N,,,verified,43
6DAt6F,q6vJUK,Ten FIDY Stranahans Bourbon Barrel Aged,10.5,65,N,N,,,verified,43
cXEnHS,IImUD9,Tequila Barrel-Aged Ophelia,6.6,23,N,N,,,verified,112
Xv2EIK,BznahA,Tequiza,4.5,,N,Y,very_cold,,verified,105
vf8QTx,nHLlnK,Terra Incognita,8.5,38.5,N,N,very_cold,,verified,125
zFPtdT,p1tFbP,Tettang Lager,,,Y,N,,,verified,93
pOk8tL,HaPdSL,The 1759,9,,N,N,,,verified,32
Kktdjp,AqEUBQ,The Art Of Chaos,9,85,N,N,,,verified,31
ej16Dh,AqEUBQ,The Carhartt Woodsman,4.4,32.9,N,N,,"Burgers, BBQ, and a job well done",verified,25
vIhSst,yX6twV,The Dogfather,10,60,N,N,,,verified,43
cvma3B,yX6twV,The Dogfather Imperial Stout - Bourbon Barrel,10.85,,N,N,,,verified,16
TFcGop,nLsoQ9,The Down Low Ale,3.9,42,N,N,,,verified,25
9RNMJQ,TMc6H2,The Gimp,10.3,,N,N,,,verified,13
xlOpbL,nLsoQ9,The Hairy Eyeball,8.8,56.66,N,N,,,verified,29
R1JD13,q6vJUK,The Mutilator,7,,N,N,,,verified,90
Qgkp3b,TMc6H2,The Pit & The Pendulum,8.3,30,N,N,,,verified,170
QJZFnY,TMc6H2,The Pit & The Pendulum with Cherries,6.1,12,N,N,,,verified,136
eVgnFV,AqEUBQ,The Poet,5.2,37,N,N,cool,"Mushrooms, beef, blooming, soft-ripened cheeses and chocolate.",verified,21
ABoSrf,nLsoQ9,The Waldos’ Special Ale (2018),11.3,100,N,N,,,verified,31
7GLf2A,q6vJUK,The White Buffalo,6,,N,N,,,verified,30
JsJS48,nHLlnK,There and Back - Beer Camp Across America,5.6,40,N,N,,,verified,3
0NyrGZ,TMc6H2,Through the Brambles,6.3,2,N,N,,,verified,170
hz4rNs,p1tFbP,Thunder Ann,5.5,,N,N,,,verified,25
Pb4Zwl,IImUD9,Thunder Stout,4.95,,N,N,,,verified,42
ZzpzSy,q6vJUK,Tickled Pink,6.6,25,N,N,,,verified,72
0tWTUV,VEY3Xa,Tmavé,5.4,23,N,N,,,verified,83
zsoUNy,q6vJUK,Toked Porter,,,N,N,,,verified,18
lrTDM4,TMc6H2,Torikumi,7.5,,N,N,,,verified,36
JaS6T7,nHLlnK,Torpedo Extra IPA,7.2,65,N,N,,,verified,30
wC2GDZ,nHLlnK,Torpedo Pilsner - Beer Camp Across America,5.2,45,N,N,cold,,verified,98
kuAItj,IImUD9,Trademark Pale Ale,5.7,40,N,N,,,verified,25
i5EwQe,nHLlnK,Trip In The Woods,9.6,,N,N,,,verified,15
lPKfmK,nHLlnK,Trip In The Woods Barrel Aged Narwhal w/Red & Black Currents,9.8,,N,N,,,verified,43
T64OoT,nHLlnK,Trip In the Woods Biere De Garde,9.8,10,N,N,,,verified,71
N0usi0,nHLlnK,Trip in the Woods Madeira Quad,10.5,,N,N,,,verified,60
x3B5d8,nHLlnK,Trip in the Woods NARWHAL,9.8,,N,N,,,verified,134
TxVKov,nHLlnK,Trip in the Woods: Barrel Aged Ginger Bigfoot,11.4,,N,N,,,verified,34
JK8eXb,nHLlnK,Trip In the Woods: Cocoa Coconut Narwhal,11.8,,N,N,,,verified,43
kKHKCn,nHLlnK,Trip in the Woods: Maple Scotch,9.8,,N,N,,,verified,15
ep9tZr,nHLlnK,Trip In the Woods: Rye Dunkelweizen,9.6,28,N,N,,,verified,52
LPQCSx,nHLlnK,Trip In The Woods: Tawny Narwhal,11.4,,N,N,,,verified,16
K2y0MV,nHLlnK,Trip In the Woods: Tequila-Barrel-Aged Otra Vez,7.5,9,N,N,,,verified,165
eJ0fVE,yX6twV,Tripel  Squared,9,35,N,N,cellar,"Fish, Lamb any spicy food as it will compliment the spiciness and clear the palate",verified,59
pO0ouy,p1tFbP,Triple Smoked Cubcrawler,6,,Y,N,,,verified,129
eXzIZz,TMc6H2,TripleTail,5.5,57,N,N,,,verified,30
qPgNWv,AqEUBQ,Tripper Noche,12.1,,N,N,,,verified,43
cPLFNf,TMc6H2,Tropical Lover,4.3,,N,N,,,verified,40
BUVVgt,q6vJUK,Tropical Mama’s,5.3,40,N,N,,,verified,98
KuflHE,nHLlnK,Tropical Torpedo,6.7,55,N,N,,"CUISINE  Spicy Szechwan Beef, Jerk Chicken, Thai Green tofu Curry
CHEESE  Aged Monterey Jack Cheese, Asiago
DESSERT  Key Lime Pie, Kiwi Trifle",verified,30
4eYvNS,nLsoQ9,TuberFest,7.5,45,N,N,,,verified,102
isCgs7,nHLlnK,Tumbler,5.5,37,N,N,,,verified,37
bf76fr,nHLlnK,Twin Peaks,5,,N,N,,,verified,25
QSwjKh,AqEUBQ,Twisted Cedar,5.8,,N,N,,,verified,10
5dbIgo,TMc6H2,Twisted Fish,5.3,30,N,N,,,verified,106
65zNUD,hGFVYy,Two Hats Lime,4.2,,N,N,,,verified,94
TmGZKm,hGFVYy,Two Hats Pineapple,4.2,,N,N,,,verified,94
Mp3DgY,nHLlnK,Two-Headed Ruthless Rye IPA,9.7,,N,N,,,verified,117
4LX2Qa,yX6twV,Two-One Niner,4.8,9.4,N,N,,,verified,98
TvAG7D,AqEUBQ,Uncle Bert's Farm Market Red,5.6,,N,N,,,verified,101
ExTe8O,nHLlnK,Unfiltered Wheat Beer,4.4,,N,N,,,verified,112
lAM2hZ,nHLlnK,Unibrown,7.1,,N,N,,,verified,37
fWbkCT,p1tFbP,Unite Red IPA,,,Y,N,,,verified,33
Il48ZU,IImUD9,United in Orange,5.3,,N,N,,,verified,25
Bk34Go,IImUD9,Vanilla Porter,5.4,32,N,N,,,verified,18
tenqsI,p1tFbP,Vanilla Wheat,,,Y,N,,,verified,65
8ve3vf,q6vJUK,Velvet Elvis Stout,,,N,N,,,verified,42
7IjJ76,nHLlnK,Vienna,5.3,,N,N,,,verified,80
CJYncP,q6vJUK,Vienna Lager,5.7,,N,N,,,verified,80
MdlspB,4F7QA9,Vienna Lager,4.7,20,N,N,,,verified,80
kZ5YoL,VEY3Xa,VT Haze,4.1,40,N,N,,,verified,164
8rc5kA,DifSi4,Wachusetts IPA,5.6,50,N,N,,,verified,30
a9reE2,nLsoQ9,Waldo's Special Ale,11.5,84,N,N,,,verified,31
vxQzSS,DifSi4,Wally,7,70,N,N,,,verified,30
YH9nbt,DifSi4,Wally Junior,4.5,60,N,N,,,verified,164
R7UZkR,q6vJUK,Wango Mango,6,,N,N,,,verified,119
YcAgdR,p1tFbP,Warrior Bomb,5,80,Y,N,,,verified,30
Fkz9Mi,BznahA,Water-melon-Rita,8,,N,N,,,verified,161
6jvc3G,TMc6H2,Waterkeeper,6,,N,N,,,verified,48
l7irOy,nHLlnK,Weizenbock - Beer Camp #37,6.8,,N,N,,,verified,53
5hvNTC,IImUD9,Well Built,8.8,55,N,N,,,verified,132
60GVov,IImUD9,Well Built E.S.B.,7.8,,N,N,,,verified,5
hCMeA4,nHLlnK,West Latitude Session Rye,5.5,55,N,N,,,verified,117
iypGyz,p1tFbP,Wet Hopped American Summer,4.8,35,Y,N,,,verified,112
Jjw7Pd,nHLlnK,Wheat Of The Moment,5.7,,Y,N,,,verified,112
Me6YnI,4F7QA9,Wheat Wine,11.5,,N,N,,,verified,35
pYXY7M,TMc6H2,Whiplash,6.3,55,N,N,,,verified,30
HL52ir,p1tFbP,Whiskey Barrel Snowman Stout,5.2,28,Y,N,,,verified,42
bpJ9u8,IImUD9,White Ale,4.8,15,N,N,,,verified,65
gQiQsk,AqEUBQ,White Hatter,5.5,52,N,N,,"seafood, fennel, mushrooms",verified,62
rjJiAx,q6vJUK,White IPA - Asheville Beer Week,5.5,,N,Y,,,verified,30
JR5uca,4F7QA9,White Lightning ,6.5,25,Y,N,,,verified,30
rRe2jl,VEY3Xa,Whole Lotta Lov,5.4,20,N,N,,,verified,20
QCvO04,nHLlnK,Why Not?,6.5,,N,N,,,verified,72
vkoim1,4F7QA9,Wicked Wheat IPA ,5.6,50,Y,N,,,verified,30
655f2d,VEY3Xa,Wicket IPA,5.4,40,N,N,,,verified,2
7Yytym,nLsoQ9,Wilco Tango Foxtrot,7.8,,N,N,,,verified,37
InYD5U,BznahA,Wild Blue Blueberry Lager,8,,N,N,,,verified,68
kzMoR5,4F7QA9,Wild Thang,5,27,N,N,,,verified,36
5pJqvf,nLsoQ9,Willett Bourbon Barrel Aged Imperial Stout,11.5,,N,N,,,verified,43
9LnbQj,nLsoQ9,Willettized Coffee Stout,11.7,60,N,N,,,verified,43
1B8Hrr,nLsoQ9,Willettized Imperial Coffee Stout,12.6,35,N,N,,,verified,20
Edea9J,DifSi4,Winter Ale,6.1,23,N,N,,,verified,15
4CC8Gf,941OaA,Winter Haze,8.5,62,N,N,cold,,verified,34
dmVTls,VEY3Xa,Winter Saison,5.3,,N,N,,,verified,72
xMjKhw,nHLlnK,Wintertide Ale,6,20,N,N,,,verified,124
TpeMIM,nHLlnK,Witbier with Grapefruit,7,22,N,N,,,verified,119
KiXHLV,VEY3Xa,Witness,6,20,N,N,,,verified,65
5stK34,TMc6H2,Wookie Down,7.6,82,N,N,,,verified,33
eI4NgQ,IImUD9,Work,,,N,N,,,verified,52
SZbmSL,nLsoQ9,WTFarmhouse,8.41,,N,N,,,verified,136
x21pxt,q6vJUK,XMas Chub,8,,N,N,,,verified,124
ndBEW0,AqEUBQ,Xtra Time,4.4,11,N,N,,,verified,108
BKi6Ss,q6vJUK,Yadig? Berliner Hopfenweissen,4.3,35,N,N,,,verified,35
EqgmWc,yX6twV,Year of the Dog - Release #1,7.2,73,N,N,,,verified,33
ruYTf6,nHLlnK,Yippe Rye Aye!,5.9,,N,N,,,verified,112
CScss3,nHLlnK,Yonder Bock - Beer Camp Across America,7.7,45,N,N,,,verified,89
a8u4ic,nHLlnK,Yvan The Great - Beer Camp Across America,6.3,50,N,N,,,verified,61
9GBACV,nLsoQ9,Zepher Ale,7.5,,N,N,,,verified,
nwNOxm,BznahA,ZiegenBock Amber,4.9,,N,N,,,verified,101
EBlZnE,AqEUBQ,Zoomer,4.7,,N,N,,"Food pairings include artisan cheeses, fresh greens, fish and chicken.",verified,112
